sym,date,open,high,low,close,volume,pct
a,2020-11-30,29500,29820,29000,29640,118368977,2.49
a,2020-12-01,29300,31240,28900,31000,169220227,4.59
a,2020-12-02,31300,31470,29360,29360,99731928,-5.29
a,2020-12-05,28980,30470,28690,29260,77803799,-0.34
a,2020-12-06,29670,30980,29650,30980,130213582,5.88
a,2020-12-07,31470,32460,29680,30580,118402965,-1.29
a,2020-12-08,31480,32800,30770,31630,74094815,3.43
a,2020-12-09,31950,32440,30500,31700,61423854,0.22
a,2020-12-12,32100,32900,31010,31350,71876203,-1.1
a,2020-12-13,31500,33720,31010,33720,121647906,7.56
a,2020-12-14,34000,34200,31540,31540,100776326,-6.47
a,2020-12-15,31080,31900,31070,31070,23962693,-1.49
a,2020-12-16,29580,30400,29580,29580,116492949,-4.8
b,2019-09-02,4365,4365,4123,4200,59960593,-2.78
b,2019-09-03,4173,4432,4173,4430,177512032,5.48
b,2019-09-04,4490,4540,4433,4500,141142184,1.58
b,2019-09-07,4518,4518,4435,4480,67416432,-0.44
b,2019-09-08,4482,4491,4400,4415,54437544,-1.45
b,2019-09-11,4467,4480,4375,4473,44385226,1.31
b,2019-09-14,4480,4581,4450,4542,78897157,1.54
b,2019-09-15,4516,4521,4440,4500,49522402,-0.92
b,2019-09-16,4520,4559,4466,4473,58734351,-0.6
b,2019-09-17,4475,4480,4360,4369,56546079,-2.33
b,2019-09-18,4344,4349,4200,4346,52116075,-0.53
b,2019-09-21,4245,4375,4245,4292,25934730,-1.24
b,2019-09-22,4299,4444,4270,4420,74938697,2.98
b,2019-09-23,4487,4579,4421,4560,73957861,3.17
b,2019-09-24,4580,4580,4430,4505,40034355,-1.21
b,2019-09-25,4499,4563,4455,4526,38639739,0.47
b,2019-09-28,4575,4739,4572,4734,136413113,4.6
b,2019-09-29,4800,4800,4613,4701,36864120,-0.7
b,2019-09-30,4735,4801,4688,4780,57843822,1.68
b,2019-10-01,4781,4784,4530,4604,73912719,-3.68
b,2019-10-02,4600,4639,4549,4600,42915226,-0.09
b,2019-10-05,4585,4610,4511,4520,48451495,-1.74
b,2019-10-06,4477,4499,4360,4480,40436555,-0.88
b,2019-10-07,4500,4545,4420,4450,46489109,-0.67
b,2019-10-08,4451,4529,4302,4349,40019517,-2.27
b,2019-10-09,4323,4451,4323,4449,50865537,2.3
b,2019-10-12,4451,4628,4442,4628,135353076,4.02
b,2019-10-13,4740,4741,4570,4582,42034074,-0.99
b,2019-10-14,4650,4689,4500,4539,41300290,-0.94
b,2019-10-15,4580,4680,4420,4450,62482126,-1.96
b,2019-10-16,4460,4600,4460,4500,28264094,1.12
b,2019-10-20,4561,4678,4380,4400,42658937,-2.22
b,2019-10-21,4551,4650,4460,4633,69384217,5.3
b,2019-10-22,4680,4710,4560,4639,38879978,0.13
b,2019-10-23,4680,4681,4544,4550,53479735,-1.92
b,2019-10-26,4610,4614,4559,4572,28788791,0.48
b,2019-10-28,4600,4610,4529,4580,30594450,0.17
b,2019-10-30,4591,4639,4584,4599,47515122,0.41
b,2019-11-02,4631,4645,4500,4555,34343570,-0.96
b,2019-11-03,4579,4598,4528,4533,24274233,-0.48
b,2019-11-04,4575,4590,4475,4499,32603577,-0.75
b,2019-11-05,4510,4598,4474,4540,32163735,0.91
b,2019-11-09,4550,4610,4500,4510,25448947,-0.66
b,2019-11-10,4499,4532,4481,4510,22707837,0.0
b,2019-11-11,4500,4551,4480,4498,22507786,-0.27
b,2019-11-12,4500,4549,4475,4480,20490208,-0.4
b,2019-11-13,4480,4500,4452,4493,32505242,0.29
b,2019-11-16,4549,4549,4452,4453,22998443,-0.89
b,2019-11-17,4439,4529,4397,4435,49731900,-0.4
b,2019-11-18,4488,4499,4415,4419,20557669,-0.36
b,2019-11-19,4473,4497,4419,4429,15624847,0.23
b,2019-11-20,4450,4478,4393,4404,26322584,-0.56
b,2019-11-23,4400,4400,4365,4379,25721985,-0.57
b,2019-11-24,4380,4408,4350,4360,24068738,-0.43
b,2019-11-25,4390,4397,4349,4376,25110536,0.37
b,2019-11-26,4419,4420,4361,4378,20976160,0.05
b,2019-11-27,4417,4425,4372,4380,21304838,0.05
b,2019-11-30,4440,4456,4390,4400,48659958,0.46
b,2019-12-01,4446,4577,4410,4500,74611238,2.27
b,2019-12-02,4610,4645,4491,4549,65976536,1.09
b,2019-12-03,4590,4653,4550,4620,46200501,1.56
b,2019-12-04,4650,4650,4570,4621,42445863,0.02
b,2019-12-07,4740,4831,4725,4785,140984936,3.55
b,2019-12-08,4830,4990,4820,4920,87229341,2.82
b,2019-12-09,4989,4995,4865,4878,49707633,-0.85
b,2019-12-10,4950,4979,4883,4900,75927443,0.45
b,2019-12-11,4880,4915,4839,4895,33806431,-0.1
b,2019-12-14,4915,4980,4897,4967,72744710,1.47
b,2019-12-15,4990,5120,4961,5029,77412645,1.25
b,2019-12-16,5060,5060,4998,5021,30294915,-0.16
b,2019-12-17,5020,5104,5020,5081,65796658,1.19
b,2019-12-18,5110,5224,5081,5195,60143651,2.24
b,2019-12-21,5230,5266,5196,5260,40049740,1.25
b,2019-12-22,5296,5460,5268,5430,76481176,3.23
b,2019-12-23,5514,5535,5250,5400,68670299,-0.55
b,2019-12-24,5432,5462,5330,5360,35192423,-0.74
b,2019-12-25,5379,5379,5252,5299,42018897,-1.14
b,2019-12-28,5300,5439,5299,5384,51087866,1.6
b,2019-12-29,5500,5500,5381,5476,48734408,1.71
b,2019-12-30,5499,5549,5481,5525,66113626,0.89
b,2019-12-31,5590,5631,5455,5602,70687324,1.39
b,2020-01-01,5650,5855,5647,5799,139267200,3.52
b,2020-01-04,5524,5544,5524,5524,419929040,-4.74
b,2020-01-05,5530,5800,5530,5800,129997241,5.0
b,2020-01-13,4000,4019,3899,4000,718660988,-31.03
b,2020-01-14,4000,4017,3903,3950,178731503,-1.25
b,2020-01-15,3900,3980,3850,3920,105050384,-0.76
b,2020-01-18,3980,4000,3891,3939,219977758,0.48
b,2020-01-19,3911,3955,3888,3910,126845211,-0.74
b,2020-01-20,3910,3922,3803,3820,163862388,-2.3
b,2020-01-21,3815,3828,3748,3750,116697256,-1.83
b,2020-01-22,3780,3840,3733,3836,98743747,2.29
b,2020-01-25,3839,3840,3799,3807,103554430,-0.76
b,2020-01-26,3869,3869,3729,3740,89103849,-1.76
b,2020-01-27,3731,3853,3688,3801,90299058,1.63
b,2020-01-28,3840,3940,3819,3910,120613900,2.87
b,2020-02-01,3965,3965,3796,3800,66129050,-2.81
b,2020-02-02,3810,3910,3786,3898,66933594,2.58
b,2020-02-03,3909,4059,3899,3989,170381419,2.33
b,2020-02-04,4063,4069,3896,3950,73993133,-0.98
b,2020-02-05,3994,3994,3899,3948,92421571,-0.05
b,2020-02-08,4020,4020,3889,3901,126039935,-1.19
b,2020-02-09,4000,4000,3898,3950,78140364,1.26
b,2020-02-10,3950,3990,3800,3929,86656376,-0.53
b,2020-02-12,3929,4020,3929,4000,178530575,1.81
b,2020-02-15,4040,4078,3938,3993,154628478,-0.18
b,2020-02-16,4059,4206,4010,4206,430782117,5.33
b,2020-02-17,4349,4374,4255,4300,376064567,2.23
b,2020-02-18,4370,4376,4210,4300,210624583,0.0
b,2020-02-19,4329,4329,4235,4240,172411174,-1.4
b,2020-02-22,4100,4396,4100,4350,172810546,2.59
b,2020-02-23,4411,4511,4405,4505,301117928,3.56
b,2020-02-24,4590,4650,4433,4630,236031176,2.77
b,2020-02-25,4665,4737,4602,4737,372029028,2.31
b,2020-02-26,4888,4888,4700,4715,176398293,-0.46
b,2020-02-29,4550,4677,4536,4536,303292073,-3.8
b,2020-03-01,4537,4647,4500,4601,139572044,1.43
b,2020-03-02,4642,4722,4601,4670,191761660,1.5
b,2020-03-03,4730,4911,4720,4911,298232723,5.16
b,2020-03-04,5000,5055,4820,4920,247332489,0.18
b,2020-03-07,4920,5119,4818,4950,269390186,0.61
b,2020-03-09,4729,4777,4729,4729,160307128,-4.46
b,2020-03-10,4510,4710,4501,4515,179063359,-4.53
b,2020-03-11,4600,4814,4599,4670,82595898,3.43
b,2020-03-14,4602,4659,4483,4483,104211448,-4.0
b,2020-03-15,4380,4550,4274,4499,171994189,0.36
b,2020-03-16,4568,4593,4446,4578,138110458,1.76
b,2020-03-17,4585,4608,4452,4600,117098437,0.48
b,2020-03-18,4626,4662,4536,4639,109240077,0.85
b,2020-03-24,4525,4549,4391,4391,81785766,-5.35
b,2020-03-25,4441,4522,4400,4460,109339844,1.57
b,2020-03-28,4400,4520,4329,4494,258852934,0.76
b,2020-03-29,4500,4550,4450,4464,140995529,-0.67
b,2020-03-30,4450,4525,4414,4491,105653555,0.6
b,2020-04-04,4577,4703,4510,4650,180868584,3.54
b,2020-04-05,4700,4751,4600,4699,119810418,1.05
b,2020-04-06,4700,4718,4600,4680,104060787,-0.4
b,2020-04-07,4738,4898,4700,4898,242271587,4.66
b,2020-04-08,5000,5083,4945,5083,167361051,3.78
b,2020-04-11,5289,5324,5157,5267,238264769,3.62
b,2020-04-12,5330,5561,5327,5561,173208702,5.58
b,2020-04-13,5730,5730,5402,5500,115016599,-1.1
b,2020-04-14,5260,5590,5260,5451,123314843,-0.89
b,2020-04-15,5400,5715,5390,5715,123545206,4.84
b,2020-04-18,5946,5946,5910,5946,65565430,4.04
b,2020-04-19,6243,6243,5649,6066,191387234,2.02
b,2020-04-20,6170,6506,6162,6506,138177573,7.25
b,2020-04-21,6804,6804,6740,6750,25932767,3.75
b,2020-04-26,7138,7494,7138,7494,229746254,11.02
b,2020-04-27,7855,7855,7855,7855,142533610,4.82
b,2020-04-28,8247,8247,8247,8247,124202025,4.99
b,2020-04-29,8659,8659,8659,8659,96707645,5.0
b,2020-05-02,9091,9091,9091,9091,138606844,4.99
b,2020-05-03,9545,9545,9545,9545,129995424,4.99
b,2020-05-04,10022,10022,10021,10022,468215951,5.0
b,2020-05-05,10523,10523,9615,9760,1080966094,-2.61
b,2020-05-06,9749,10727,9749,10330,636475471,5.84
b,2020-05-09,10695,10707,10500,10707,355155961,3.65
b,2020-05-10,11236,11236,11236,11236,26257692,4.94
b,2020-05-13,11650,12232,11068,11068,509965126,-1.5
b,2020-05-16,10973,10973,10973,10973,26134681,-0.86
b,2020-05-17,10425,10425,10425,10425,40720147,-4.99
b,2020-05-18,10020,10700,9904,10224,861474427,-1.93
b,2020-05-19,10350,10350,9657,9657,324276938,-5.55
b,2020-05-20,9268,9433,9268,9268,242669672,-4.03
b,2020-05-23,8811,8811,8811,8811,137670564,-4.93
b,2020-05-26,8371,8594,8371,8371,355168587,-4.99
b,2020-05-27,8150,8804,8150,8804,308524869,5.17
b,2020-05-30,9087,9087,9080,9087,239302335,3.21
b,2020-05-31,9350,9541,8633,8996,264309250,-1.0
b,2020-06-01,9040,9449,8774,9207,150021727,2.35
b,2020-06-02,9430,9649,9274,9649,294517212,4.8
b,2020-06-06,10000,10107,9800,10107,166412659,4.75
b,2020-06-07,10569,10569,10107,10549,228499778,4.37
b,2020-06-08,10034,11090,10034,10270,362079351,-2.64
b,2020-06-09,10420,11070,10380,10835,304990042,5.5
b,2020-06-10,11100,11301,11050,11301,275676980,4.3
b,2020-06-13,11850,11850,11790,11850,393121085,4.86
b,2020-06-14,12000,12090,11260,11800,354708361,-0.42
b,2020-06-15,11700,11880,11160,11280,300459716,-4.41
b,2020-06-16,11320,11990,11100,11890,371368524,5.41
b,2020-06-20,12200,12270,12010,12270,216076048,3.2
b,2020-06-21,12870,12870,12500,12870,313371052,4.89
b,2020-06-22,13500,13500,13100,13500,226987185,4.9
b,2020-06-23,14160,14160,14160,14160,14389854,4.89
b,2020-06-27,14860,14860,14860,14860,114599090,4.94
b,2020-06-28,15600,15600,14300,15120,740019948,1.75
b,2020-06-29,14800,16150,14630,15540,459042305,2.78
b,2020-06-30,15860,15860,15860,15860,134034481,2.06
b,2020-07-01,16650,16650,16650,16650,136762363,4.98
b,2020-07-04,17480,17480,15820,16970,564699680,1.92
b,2020-07-05,17300,17750,16070,17750,265465012,4.6
b,2020-07-06,18390,18390,18390,18390,105297588,3.61
b,2020-07-07,19300,19300,19300,19300,176137871,4.95
b,2020-07-08,20260,20260,18340,19460,893263244,0.83
b,2020-07-11,19500,21080,19080,21080,338823684,8.32
b,2020-07-12,21150,21150,21000,21150,527309863,0.33
b,2020-07-13,21150,22200,20100,22200,796433515,4.96
b,2020-07-14,23020,23020,22900,23000,111838508,3.6
b,2020-07-18,21870,21870,21870,21870,54452078,-4.91
b,2020-07-19,20780,22960,20780,22960,886851975,4.98
b,2020-07-20,23260,23270,21070,23270,864680953,1.35
b,2020-07-21,22740,24420,22100,22500,778642302,-3.31
b,2020-07-22,23200,24820,22460,22460,355217157,-0.18
b,2020-07-25,23400,23820,21560,22300,524224778,-0.71
b,2020-07-26,22920,24330,22030,22030,157129954,-1.21
b,2020-07-27,21100,21990,21100,21100,499427002,-4.22
b,2020-07-28,21500,22240,20140,20140,363457353,-4.55
b,2020-07-29,19690,20500,19680,19830,569322331,-1.54
b,2020-08-01,20600,20730,19000,20730,250228158,4.54
b,2020-08-02,21680,21680,20800,21390,413360829,3.18
b,2020-08-03,21600,22500,20360,20370,133363122,-4.77
b,2020-08-10,19200,20140,18700,19110,179613365,-6.19
b,2020-08-11,19000,20240,18320,18480,418906516,-3.3
b,2020-08-12,19550,19550,17690,18600,496178223,0.65
b,2020-08-15,18870,19200,18110,18110,399122646,-2.63
b,2020-08-16,18200,18490,17290,17300,519906075,-4.47
b,2020-08-17,18310,18310,17900,18310,272467806,5.84
b,2020-08-18,18860,19210,17390,17700,431821069,-3.33
b,2020-08-19,17180,17180,17180,17180,155213627,-2.94
